source_image,title,quantity,unit,item,instructions
C:\Users\timva\Python_Projects\recipe-extractor\data\mediterraanse_risotto.jpg,Mediterraanse risotto met crispy pancetta,1,stuk,aubergine,"Verwarm de oven voor op 200°C en bedek een bakplaat met bakpapier | Snijd de aubergine en paprika in blokjes. Schik in een ovenschaal, samen met | de kerstomaten. Besprenkel met olijfolie en kruid met de BBQ-kruiden, zout en | zwarte peper. Rooster 25-30 min. in de oven | Snipper de sjalot fijn en pers de knofiook. Verhit een scheutje olijfolie in een pot | en fruit de sjalot en knoflook zo'n 2 min. op middelhoog vuur. Voeg de | risottorijst toe en laat zo'’n 2 min. meebakken, tot de rijst glazig is. Verkruimel de | bouillon eroverheen en voeg beetje per beetje wat water toe (reken zo'n 200 m | per persoon). Laat op zacht vuur sudderen en voeg, wanneer het water bijna is | opgenomen, nog een pollepel toe. Ga zo door, tot de risotto net beetgaar is, | ongeveer 15-20 min. Roer regelmatig goed door | Schik intussen de pancetta op de bakplaat. Rooster in 10 min. krokant n de | oven en laat afkoelen. Breek vervolgens in stukken | Voeg de Gran Moravia toe aan de risotto en laat smelten. Proef en breng verder | op smaak met zout en zwarte peper | Schep de risotto in een diep bord en schik de geroosterde groenten erbij (zie | tip). Werk af met de crispy pancetta. Smakelijk! | Tip van de chef | Je kan de groenten ook meteen | door de risotto scheppen en | vervolgens dresseren."
C:\Users\timva\Python_Projects\recipe-extractor\data\mediterraanse_risotto.jpg,Mediterraanse risotto met crispy pancetta,1,stuk,rode paprika,"Verwarm de oven voor op 200°C en bedek een bakplaat met bakpapier | Snijd de aubergine en paprika in blokjes. Schik in een ovenschaal, samen met | de kerstomaten. Besprenkel met olijfolie en kruid met de BBQ-kruiden, zout en | zwarte peper. Rooster 25-30 min. in de oven | Snipper de sjalot fijn en pers de knofiook. Verhit een scheutje olijfolie in een pot | en fruit de sjalot en knoflook zo'n 2 min. op middelhoog vuur. Voeg de | risottorijst toe en laat zo'’n 2 min. meebakken, tot de rijst glazig is. Verkruimel de | bouillon eroverheen en voeg beetje per beetje wat water toe (reken zo'n 200 m | per persoon). Laat op zacht vuur sudderen en voeg, wanneer het water bijna is | opgenomen, nog een pollepel toe. Ga zo door, tot de risotto net beetgaar is, | ongeveer 15-20 min. Roer regelmatig goed door | Schik intussen de pancetta op de bakplaat. Rooster in 10 min. krokant n de | oven en laat afkoelen. Breek vervolgens in stukken | Voeg de Gran Moravia toe aan de risotto en laat smelten. Proef en breng verder | op smaak met zout en zwarte peper | Schep de risotto in een diep bord en schik de geroosterde groenten erbij (zie | tip). Werk af met de crispy pancetta. Smakelijk! | Tip van de chef | Je kan de groenten ook meteen | door de risotto scheppen en | vervolgens dresseren."
C:\Users\timva\Python_Projects\recipe-extractor\data\mediterraanse_risotto.jpg,Mediterraanse risotto met crispy pancetta,2009,g,toma'muse tomaten,"Verwarm de oven voor op 200°C en bedek een bakplaat met bakpapier | Snijd de aubergine en paprika in blokjes. Schik in een ovenschaal, samen met | de kerstomaten. Besprenkel met olijfolie en kruid met de BBQ-kruiden, zout en | zwarte peper. Rooster 25-30 min. in de oven | Snipper de sjalot fijn en pers de knofiook. Verhit een scheutje olijfolie in een pot | en fruit de sjalot en knoflook zo'n 2 min. op middelhoog vuur. Voeg de | risottorijst toe en laat zo'’n 2 min. meebakken, tot de rijst glazig is. Verkruimel de | bouillon eroverheen en voeg beetje per beetje wat water toe (reken zo'n 200 m | per persoon). Laat op zacht vuur sudderen en voeg, wanneer het water bijna is | opgenomen, nog een pollepel toe. Ga zo door, tot de risotto net beetgaar is, | ongeveer 15-20 min. Roer regelmatig goed door | Schik intussen de pancetta op de bakplaat. Rooster in 10 min. krokant n de | oven en laat afkoelen. Breek vervolgens in stukken | Voeg de Gran Moravia toe aan de risotto en laat smelten. Proef en breng verder | op smaak met zout en zwarte peper | Schep de risotto in een diep bord en schik de geroosterde groenten erbij (zie | tip). Werk af met de crispy pancetta. Smakelijk! | Tip van de chef | Je kan de groenten ook meteen | door de risotto scheppen en | vervolgens dresseren."
C:\Users\timva\Python_Projects\recipe-extractor\data\mediterraanse_risotto.jpg,Mediterraanse risotto met crispy pancetta,1,zakje,bbq-kruiden,"Verwarm de oven voor op 200°C en bedek een bakplaat met bakpapier | Snijd de aubergine en paprika in blokjes. Schik in een ovenschaal, samen met | de kerstomaten. Besprenkel met olijfolie en kruid met de BBQ-kruiden, zout en | zwarte peper. Rooster 25-30 min. in de oven | Snipper de sjalot fijn en pers de knofiook. Verhit een scheutje olijfolie in een pot | en fruit de sjalot en knoflook zo'n 2 min. op middelhoog vuur. Voeg de | risottorijst toe en laat zo'’n 2 min. meebakken, tot de rijst glazig is. Verkruimel de | bouillon eroverheen en voeg beetje per beetje wat water toe (reken zo'n 200 m | per persoon). Laat op zacht vuur sudderen en voeg, wanneer het water bijna is | opgenomen, nog een pollepel toe. Ga zo door, tot de risotto net beetgaar is, | ongeveer 15-20 min. Roer regelmatig goed door | Schik intussen de pancetta op de bakplaat. Rooster in 10 min. krokant n de | oven en laat afkoelen. Breek vervolgens in stukken | Voeg de Gran Moravia toe aan de risotto en laat smelten. Proef en breng verder | op smaak met zout en zwarte peper | Schep de risotto in een diep bord en schik de geroosterde groenten erbij (zie | tip). Werk af met de crispy pancetta. Smakelijk! | Tip van de chef | Je kan de groenten ook meteen | door de risotto scheppen en | vervolgens dresseren."
C:\Users\timva\Python_Projects\recipe-extractor\data\mediterraanse_risotto.jpg,Mediterraanse risotto met crispy pancetta,1,stuk,sjalot,"Verwarm de oven voor op 200°C en bedek een bakplaat met bakpapier | Snijd de aubergine en paprika in blokjes. Schik in een ovenschaal, samen met | de kerstomaten. Besprenkel met olijfolie en kruid met de BBQ-kruiden, zout en | zwarte peper. Rooster 25-30 min. in de oven | Snipper de sjalot fijn en pers de knofiook. Verhit een scheutje olijfolie in een pot | en fruit de sjalot en knoflook zo'n 2 min. op middelhoog vuur. Voeg de | risottorijst toe en laat zo'’n 2 min. meebakken, tot de rijst glazig is. Verkruimel de | bouillon eroverheen en voeg beetje per beetje wat water toe (reken zo'n 200 m | per persoon). Laat op zacht vuur sudderen en voeg, wanneer het water bijna is | opgenomen, nog een pollepel toe. Ga zo door, tot de risotto net beetgaar is, | ongeveer 15-20 min. Roer regelmatig goed door | Schik intussen de pancetta op de bakplaat. Rooster in 10 min. krokant n de | oven en laat afkoelen. Breek vervolgens in stukken | Voeg de Gran Moravia toe aan de risotto en laat smelten. Proef en breng verder | op smaak met zout en zwarte peper | Schep de risotto in een diep bord en schik de geroosterde groenten erbij (zie | tip). Werk af met de crispy pancetta. Smakelijk! | Tip van de chef | Je kan de groenten ook meteen | door de risotto scheppen en | vervolgens dresseren."
C:\Users\timva\Python_Projects\recipe-extractor\data\mediterraanse_risotto.jpg,Mediterraanse risotto met crispy pancetta,1,teentje,knoflook,"Verwarm de oven voor op 200°C en bedek een bakplaat met bakpapier | Snijd de aubergine en paprika in blokjes. Schik in een ovenschaal, samen met | de kerstomaten. Besprenkel met olijfolie en kruid met de BBQ-kruiden, zout en | zwarte peper. Rooster 25-30 min. in de oven | Snipper de sjalot fijn en pers de knofiook. Verhit een scheutje olijfolie in een pot | en fruit de sjalot en knoflook zo'n 2 min. op middelhoog vuur. Voeg de | risottorijst toe en laat zo'’n 2 min. meebakken, tot de rijst glazig is. Verkruimel de | bouillon eroverheen en voeg beetje per beetje wat water toe (reken zo'n 200 m | per persoon). Laat op zacht vuur sudderen en voeg, wanneer het water bijna is | opgenomen, nog een pollepel toe. Ga zo door, tot de risotto net beetgaar is, | ongeveer 15-20 min. Roer regelmatig goed door | Schik intussen de pancetta op de bakplaat. Rooster in 10 min. krokant n de | oven en laat afkoelen. Breek vervolgens in stukken | Voeg de Gran Moravia toe aan de risotto en laat smelten. Proef en breng verder | op smaak met zout en zwarte peper | Schep de risotto in een diep bord en schik de geroosterde groenten erbij (zie | tip). Werk af met de crispy pancetta. Smakelijk! | Tip van de chef | Je kan de groenten ook meteen | door de risotto scheppen en | vervolgens dresseren."
C:\Users\timva\Python_Projects\recipe-extractor\data\mediterraanse_risotto.jpg,Mediterraanse risotto met crispy pancetta,,,risottorijst 1259,"Verwarm de oven voor op 200°C en bedek een bakplaat met bakpapier | Snijd de aubergine en paprika in blokjes. Schik in een ovenschaal, samen met | de kerstomaten. Besprenkel met olijfolie en kruid met de BBQ-kruiden, zout en | zwarte peper. Rooster 25-30 min. in de oven | Snipper de sjalot fijn en pers de knofiook. Verhit een scheutje olijfolie in een pot | en fruit de sjalot en knoflook zo'n 2 min. op middelhoog vuur. Voeg de | risottorijst toe en laat zo'’n 2 min. meebakken, tot de rijst glazig is. Verkruimel de | bouillon eroverheen en voeg beetje per beetje wat water toe (reken zo'n 200 m | per persoon). Laat op zacht vuur sudderen en voeg, wanneer het water bijna is | opgenomen, nog een pollepel toe. Ga zo door, tot de risotto net beetgaar is, | ongeveer 15-20 min. Roer regelmatig goed door | Schik intussen de pancetta op de bakplaat. Rooster in 10 min. krokant n de | oven en laat afkoelen. Breek vervolgens in stukken | Voeg de Gran Moravia toe aan de risotto en laat smelten. Proef en breng verder | op smaak met zout en zwarte peper | Schep de risotto in een diep bord en schik de geroosterde groenten erbij (zie | tip). Werk af met de crispy pancetta. Smakelijk! | Tip van de chef | Je kan de groenten ook meteen | door de risotto scheppen en | vervolgens dresseren."
C:\Users\timva\Python_Projects\recipe-extractor\data\mediterraanse_risotto.jpg,Mediterraanse risotto met crispy pancetta,1/2,blokje,kippenbouillon,"Verwarm de oven voor op 200°C en bedek een bakplaat met bakpapier | Snijd de aubergine en paprika in blokjes. Schik in een ovenschaal, samen met | de kerstomaten. Besprenkel met olijfolie en kruid met de BBQ-kruiden, zout en | zwarte peper. Rooster 25-30 min. in de oven | Snipper de sjalot fijn en pers de knofiook. Verhit een scheutje olijfolie in een pot | en fruit de sjalot en knoflook zo'n 2 min. op middelhoog vuur. Voeg de | risottorijst toe en laat zo'’n 2 min. meebakken, tot de rijst glazig is. Verkruimel de | bouillon eroverheen en voeg beetje per beetje wat water toe (reken zo'n 200 m | per persoon). Laat op zacht vuur sudderen en voeg, wanneer het water bijna is | opgenomen, nog een pollepel toe. Ga zo door, tot de risotto net beetgaar is, | ongeveer 15-20 min. Roer regelmatig goed door | Schik intussen de pancetta op de bakplaat. Rooster in 10 min. krokant n de | oven en laat afkoelen. Breek vervolgens in stukken | Voeg de Gran Moravia toe aan de risotto en laat smelten. Proef en breng verder | op smaak met zout en zwarte peper | Schep de risotto in een diep bord en schik de geroosterde groenten erbij (zie | tip). Werk af met de crispy pancetta. Smakelijk! | Tip van de chef | Je kan de groenten ook meteen | door de risotto scheppen en | vervolgens dresseren."
C:\Users\timva\Python_Projects\recipe-extractor\data\mediterraanse_risotto.jpg,Mediterraanse risotto met crispy pancetta,,,pancetta (varken) 1009,"Verwarm de oven voor op 200°C en bedek een bakplaat met bakpapier | Snijd de aubergine en paprika in blokjes. Schik in een ovenschaal, samen met | de kerstomaten. Besprenkel met olijfolie en kruid met de BBQ-kruiden, zout en | zwarte peper. Rooster 25-30 min. in de oven | Snipper de sjalot fijn en pers de knofiook. Verhit een scheutje olijfolie in een pot | en fruit de sjalot en knoflook zo'n 2 min. op middelhoog vuur. Voeg de | risottorijst toe en laat zo'’n 2 min. meebakken, tot de rijst glazig is. Verkruimel de | bouillon eroverheen en voeg beetje per beetje wat water toe (reken zo'n 200 m | per persoon). Laat op zacht vuur sudderen en voeg, wanneer het water bijna is | opgenomen, nog een pollepel toe. Ga zo door, tot de risotto net beetgaar is, | ongeveer 15-20 min. Roer regelmatig goed door | Schik intussen de pancetta op de bakplaat. Rooster in 10 min. krokant n de | oven en laat afkoelen. Breek vervolgens in stukken | Voeg de Gran Moravia toe aan de risotto en laat smelten. Proef en breng verder | op smaak met zout en zwarte peper | Schep de risotto in een diep bord en schik de geroosterde groenten erbij (zie | tip). Werk af met de crispy pancetta. Smakelijk! | Tip van de chef | Je kan de groenten ook meteen | door de risotto scheppen en | vervolgens dresseren."
C:\Users\timva\Python_Projects\recipe-extractor\data\mediterraanse_risotto.jpg,Mediterraanse risotto met crispy pancetta,50,g,gran moravia,"Verwarm de oven voor op 200°C en bedek een bakplaat met bakpapier | Snijd de aubergine en paprika in blokjes. Schik in een ovenschaal, samen met | de kerstomaten. Besprenkel met olijfolie en kruid met de BBQ-kruiden, zout en | zwarte peper. Rooster 25-30 min. in de oven | Snipper de sjalot fijn en pers de knofiook. Verhit een scheutje olijfolie in een pot | en fruit de sjalot en knoflook zo'n 2 min. op middelhoog vuur. Voeg de | risottorijst toe en laat zo'’n 2 min. meebakken, tot de rijst glazig is. Verkruimel de | bouillon eroverheen en voeg beetje per beetje wat water toe (reken zo'n 200 m | per persoon). Laat op zacht vuur sudderen en voeg, wanneer het water bijna is | opgenomen, nog een pollepel toe. Ga zo door, tot de risotto net beetgaar is, | ongeveer 15-20 min. Roer regelmatig goed door | Schik intussen de pancetta op de bakplaat. Rooster in 10 min. krokant n de | oven en laat afkoelen. Breek vervolgens in stukken | Voeg de Gran Moravia toe aan de risotto en laat smelten. Proef en breng verder | op smaak met zout en zwarte peper | Schep de risotto in een diep bord en schik de geroosterde groenten erbij (zie | tip). Werk af met de crispy pancetta. Smakelijk! | Tip van de chef | Je kan de groenten ook meteen | door de risotto scheppen en | vervolgens dresseren."
